original_title
Dark wind
Firangi
Fukrey Returns
Monsoon Shootout
Ajji
Chalk N Duster
Rebellious Flower
Shackle
Airlift
Sallu Ki Shaadi
Saala Khadoos
Kyaa Kool Hain Hum 3
Mastizaade
Dil Jo Na Keh Saka
Jugni
Ghayal Once Again
Fitoor
Sanam Re
Direct Ishq
Ishq Forever
LoveShhuda
Neerja
Aligarh
Bollywood Diaries
Love Shagun
Tere Bin Laden: Dead Or Alive
Jai Gangaajal
Kapoor & Sons
Rocky Handsome
Love Games
Fan
Nil Battey Sannata
Laal Rang
Baaghi
Global Baba
Shortcut Safari
The Blueberry Hunt
Santa Banta Pvt Ltd
Traffic
1920 London
Azhar
Buddha in a Traffic Jam
Murari the Mad Gentleman
Dear Dad
Phobia
Sarbjit
Veerappan
Do Lafzon Ki Kahani
Te3n
Udta Punjab
khel toh ab shuru hoga
Luv U Alia
7 Hours to Go
Raman Raghav 2.0
Junooniyat
Rough Book
Dhanak
Fredrick
Dil Toh Deewana Hai
Sultan
Brahman Naman
Great Grand Masti
Waiting
Ishq Click
M Cream
Madaari
Dishoom
Fever
Rustom
Hai Apna Dil Toh Awara
Mohenjo Daro
Happy Bhag Jayegi
Warrior Savitri
A Flying Jatt
Baar Baar Dekho
Freaky Ali
Raaz Reboot
Pink
Parched
Banjo
Days of Tafree
Wah Taj
Island City
Ek Kahani Julie Ki
M.S. Dhoni: The Untold Story
MSG the Warrior: Lion Heart
Tutak Tutak Tutiya
Motu Patlu: King of Kings
Anna
Fuddu
Saat Uchakkey
Beiimaan Love
Umrika
Shivaay
Dongri Ka Raja
Ae Dil Hai Mushkil
Tum Bin 2
Rock On 2
Force 2
Dear Zindagi
Befikre
Moh Maya Money
Shorgul
Saansein: The Last Breath
Ki & Ka
Wajah Tum Ho
Dangal
Mirzya
Prem Ratan Dhan Payo
Tanu Weds Manu Returns
Tanu Weds Manu Returns
31st October
Any Body Can Dance 2
Dilwale
Bajrangi Bhaijaan
Bajirao Mastani
Welcome Back
Baby
Singh Is Bliing
Gabbar is Back
Gabbar is Back
Mumbai Can Dance Saalaa
Alone
Tevar
Sharafat Gayi Tel Lene
Dolly Ki Doli
Hawaizaada
Khamoshiyan
Rahasya
Jai Jawaan Jai Kisaan
Shamitabh
Roy
Badlapur
Crazy Cukkad Family
Take It Easy
Qissa: The Tale of a Lonely Ghost
Ab Tak Chhappan 2
Dum Laga Ke Haisha
Dirty Politics
MSG: The Messenger of God
Badmashiyaan
Coffee Bloom
Hey Bro
NH10
Hunterrr
Detective Byomkesh Bakshy!
Luckhnowi Ishq
Court
Margarita with a Straw
Ek Paheli Leela
Barkhaa
Mr. X
NH-8: Road to Nidhivan
Dilliwaali Zaalim Girlfriend
Dharam Sankat Mein
Kaagaz Ke Fools
Kuch Kuch Locha Hai
Piku
Bombay Velvet
I Love Desi
Dil Dhadakne Do
Welcome to Karachi
P Se PM Tak
Mere Genie Uncle
Hamari Adhuri Kahani
Miss Tanakpur Haazir Ho
Uvaa
Ishq Ke Parindey
Ishqedarriyaan
Sabki Bajegi Band
Masaan
Guddu Rangeela
Bezubaan Ishq
Aisa Yeh Jahaan
Second Hand Husband
I Love NY
Main Hoon Rajinikanth
Kaun Kitney Paani Mein
Drishyam
Bangistan
All Is Well
Brothers
Gour Hari Dastaan: The Freedom File
Manjhi: The Mountain Man
Thoda Lutf Thoda Ishq
Phantom
Hero
Sorry Daddy
Talvar
Katti Batti
Meeruthiya Gangsters
MSG 2 the Messenger
Calendar Girls
Bhaag Johnny
Jazbaa
Bumper Draw
Chinar Daastaan-E-Ishq
Kis Kisko Pyaar Karoon
Pyaar Ka Punchnama 2
Wedding Pullav
Shaandaar
Titli
Guddu Ki Gun
The Silent Heroes
Ranbanka
Dedh Ishqiya
Karle Pyaar Karle
Paranthe Wali Gali
Strings of Passion
Gunday
Jai Ho
Hasee Toh Phasee
Heartless
Ya Rab
Darr @ the Mall
One by Two
Babloo Happy Hai
Highway
Gulabi Gang
Shaadi Ke Side Effects
Gulaab Gang
Queen
Bewakoofiyaan
Total Siyapaa
Dee Saturday Night
Karar: The Deal
Lakshmi
Ragini MMS 2
Dishkiyaoon
Ankhon Dekhi
Gang of Ghosts
Anuradha
W
O Teri
Honour Killing
2 States
Jal
Bhoothnath Returns
Main Tera Hero
Lucky Kabootar
Station
Youngistaan
Samrat & Co.
Purani Jeans
Kya Dilli Kya Lahore
Koyelaanchal
Manjunath
Dekh Tamasha Dekh
Mastram
The Xpose
Children of War
Hawaa Hawaai
Kahin Hai Mera Pyar
Kuku Mathur Ki Jhand Ho Gayi
Heropanti
City Lights
Filmistaan
Revolver Rani
Kaanchi
Machhli Jal Ki Rani Hai
Khwaabb
Yeh Hai Bakrapur
Ek Villain
Bobby Jasoos
Humshakals
Humpty Sharma Ki Dulhania
Hate Story 2
Lekar Hum Deewana Dil
Riyasat
Amit Sahni Ki List
Holiday
Fugly
Bazaar E Husn
Pizza
It's Entertainment
Singham Returns
Mardaani
Raja Natwarlal
Mary Kom
Creature
Finding Fanny
Khoobsurat
3 AM: A Paranormal Experience
Kick
M.A.D: Mad About Dance
Mumbhai Connection
Life Is Beautiful
Desi Kattey
Haider
Bang Bang
Spark
Daawat-e-Ishq
Balwinder Singh Famous Ho Gaya
Jigariyaa
Tamanchey: Pyar Mein Dil Pe Maar De Goli
Mumbai 125 KM 3D
Meinu Ek Ladki Chaahiye
Chaarfutiya Chhokare
Sonali Cable
Happy New Year
Super Nani
Ekkees Toppon Ki Salaami
Rang Rasiya
The Shaukeens
ROAR: Tigers of the Sundarbans
A Decent Arrangement
Gollu aur Pappu
Titoo MBA
Kill Dil
Ungli
Happy Ending
Zed Plus
Zid
Action Jackson
Bhopal: A Prayer for Rain
Mumbai Delhi Mumbai
Badlapur Boys
Main Aur Mr. Riight
Ugly
PK
Dehraadun Diary
Matru ki Bijlee ka Mandola
Sulemani Keeda
Inkaar
Gangoobai
Akaash Vani
Main Krishna Hoon
Race 2
Bandook
Listen... Amaya
Special Chabbis
Murder 3
Zila Ghaziabad
Kai po che!
Bloody Isshq
Saare Jahaan Se Mehnga...
3G - A Killer Connection
Mere Dad Ki Maruti
Jolly LLB
Saheb Biwi Aur Gangster Returns
Mai
Vishwaroopam
Rangrezz
Aashiqui 2
Ek Thi Daayan
Himmatwala
Nautanki Saala!
Jayantabhai Ki Luv Story
Commando
Bombay Talkies
Go Goa Gone
Gippi
Aurangzeb
Ishkq in Paris
Zindagi 50 50
Yeh Jawaani Hai Deewani
Fukrey
Chhota Bheem and the Throne of Bali
Raanjhanaa
Ankur Arora Murder Case
Shortcut Romeo
Ghanchakkar
Hum Hai Raahi CAR Ke
Policegiri
Bhaag Milkha Bhaag
Sixteen
B.A. Pass
Enemmy
Issaq
Bajatey Raho
Luv U Soniyo
Nasha
Chor Chor Super Chor
Calapor
D-Day
Siddharth
Once Upon a Time in Mumbai Dobaara!
Madras Cafe
Satyagraha
Shuddh Desi Romance
Ramaiya Vastavaiya
Chennai Express
Grand Masti
John Day
Horror Story
Phata Poster Nikhla Hero
Ship of Theseus
Dabba
Baat Bann Gayi
Boss
Shahid
Mickey Virus
Satya 2
Rajjo
Maazii
Sooper Se Ooper
Prague
Wake Up India
Super Model
Gori Tere Pyaar Mein!
What the Fish
Jackpot
Table No.21
Bullett Raja
Dhoom:3
Chashme Baddoor
Lootera
War Chod Na Yaar
Chaalis Chauraasi
Ghost
Sadda Adda
Singh Saab the Great
Goliyon Ki Rasleela Ram-Leela
Agneepath
Ek Main Aur Ekk Tu
Ekk Deewana Tha
Jodi Breakers
Tere Naal Love Ho Gaya
Staying Alive
Paan Singh Tomar
Kahaani
Zindagi Tere Naam
Agent Vinod
Blood Money
Bumboo
Valentine's Night
Married 2 America
Chaar Din Ki Chandni
Bittoo Boss
Vicky Donor
Hate Story
Tezz
Dangerous Ishhq
Ishaqzaade
Department
Fatso!
Arjun: The Warrior Prince
Life Ki Toh Lag Gayi
Shanghai
Ferrari Ki Sawaari
Teri Meri Kahaani
Mr Bhatti on Chutti
Yeh Khula Aasmaan
Rakhtbeej
Gangs of Wasseypur
Gangs of Wasseypur
Cocktail
Gattu
Kyaa Super Kool Hain Hum
Maximum
5 Ghantey Mien 5 Crore
Ek Tha Tiger
Challo Driver
Shirin Farhad Ki Toh Nikal Padi
Joker
Aalaap
Mere Dost Picture Abhi Baaki Hai
Krishna Aur Kans
From Sydney with Love
Jalpari: The Desert Mermaid
Barfi!
Heroine
Chal Pichchur Banate Hain
Kismet Love Paisa Dilli
Jeena Hai Toh Thok Daal
OMG: Oh My God!
Aiyyaa
Chittagong
Bhoot Returns
Delhi Safari
Chakravyuh
Student of the Year
Ajab Gazabb Love
Rush
1920: Evil Returns
Sons of Ram
Ata Pata Lapatta
Jab Tak Hai Jaan
Talaash
Login
Son of Sardaar
Cigarette Ki Tarah
Dabangg 2
Players
Housefull 2
Bol Bachchan
English Vinglish
Impatient Vivek
Yamla Pagla Deewana
Mumbai Mast Kallander
Dhobi Ghat
Turning 30!!!
Hostel
Dil Toh Baccha Hai Ji
United Six
Utt Pataang
Patiala House
7 Khoon Maaf
Tanu Weds Manu
F.A.L.T.U
Memories in March
Thank You
Angel
Happy Husbands
Teen Thay Bhai
Dum Maaro Dum
Shor in the City
Zokkomon
Chalo Dilli
Aashiqui.in
Satrangee Parachute
Monica
I Am
Haunted - 3D
Love U... Mr. Kalakaar!
Ragini MMS
Stanley Ka Dabba
Shagird
Shaitan
Pyaar Ka Punchnama
Bheja Fry 2
Always Kabhi Kabhi
Double Dhamaal
Bbuddah... Hoga Terra Baap
Delhi Belly
Murder 2
Chillar Party
Zindagi Na Milegi Dobara
Gandhi to Hitler
I Am Kalam
Bin Bulaye Baraati
Kucch Luv Jaisaa
Singham
Khap
Bubble Gum
Shabri
Phhir
Aarakshan
Chatur Singh Two Star
Sahi Dhandhe Galat Bande
Bodyguard
Yeh Dooriyan
Not a Love Story
Hum Tum Shabana
Mummy Punjabi: Superman Ki Bhi Maa!!
Mere Brother Ki Dulhan
Mausam
U R My Jaan
Force
Saheb Biwi Aur Gangster
Tere Mere Phere
Breakaway
Chargesheet
Love Breakups Zindagi
Mujhse Fraaandship Karoge
Aazaan
Ra.One
Rockstar
Miley - Naa Miley - Hum
Tell Me O Kkhuda
Damadamm!
Ladies vs. Ricky Bahl
Desi Boyz
Game
No One Killed Jessica
Rascals
The Dirty Picture
Pyaar Impossible!
Chance Pe Dance
My Friend Pinto
Veer
Striker
Rann
Ishqiya
Road to Sangam
Jo Hum Chahein
Click
Toh Baat Pakki!
My Name Is Khan
Teen Patti
Karthik Calling Karthik
Don 2
Rokkk
Aakhari Decision
Right Yaaa Wrong
Sukhmani
Thanks Maa
Na Ghar Ke Na Ghaat Ke
Trump Card
Shaapit: The Cursed
Hum Tum Aur Ghost
Well Done Abba!
Tum Milo Toh Sahi
Jaane Kahan Se Aayi Hai
Prem Kaa Game
Sadiyaan: Boundaries Divide... Love Unites
The Japanese Wife
Get Educated: Paathshaala
Phoonk 2
Lahore
Apartment: Rent at Your Own Risk
City of Gold - Mumbai 1982: Ek Ankahee Kahani
Chase
Housefull
Mittal v/s Mittal
It's a Wonderful Afterlife
Prince
Raavan
Bumm Bumm Bole
Kushti
Kites
LSD: Love Sex Aur Dhokha
Milenge Milenge
Ek Second... Jo Zindagi Badal De...
Mr. Singh/Mrs. Mehta
Lamhaa: The Untold Story of Kashmir
Khatta Meetha
Tere Bin Laden
Udaan
Once Upon a Time in Mumbaai
Help
Peepli (Live)
Lafangey Parindey
Hello Darling
Antardwand
Aashayein
Soch Lo
Dabangg
Khichdi: The Movie
Red Alert: The War Within
Life Express
The Film Emotional Atyachar
Hisss
Crook: It's Good to Be Bad
Do Dooni Chaar
Aakrosh
Ramayana: The Epic
Knock Out
Jhootha Hi Sahi
Guzaarish
Allah Ke Banday
Break Ke Baad
Khuda Kasam
Phas Gaye Re Obama
Malik Ek
A Flat
No Problem
Band Baaja Baaraat
Kaalo
Mirch
Tees Maar Khan
Isi Life Mein...!
Toonpur Ka Superrhero
Tera Kya Hoga Johnny
Ramaa: The Saviour
I Hate Luv Storys
Dulha Mil Gaya
Anjaana Anjaani
Dunno Y Na Jaane Kyun...
Pankh
Action Replayy
3 Idiots
Luck by Chance
Love Aaj Kal
Wanted
Delhi-6
Raaz: The Mystery Continues
Aasma: The Sky Is the Limit
Ajab Prem Ki Ghazab Kahani
Chal Chala Chal
Billu
The Stoneman Murders
Kisse Pyaar Karoon?
Dhoondte Reh Jaoge
Karma Confessions and Holi
Victory
Kaminey
Jai Veeru: Friends Forever
Little Zizou
Gulaal
Aloo Chaat
Barah Aana
Firaaq
Aa Dekhen Zara
Ek: The Power of One
Ek Se Bure Do
Sikandar
Zor Lagaa Ke... Haiya!
Paying Guests
New York
Sankat City
Shortkut - The Con Is On
Luck
Life Partner
Daddy Cool: Join the Fun
Kisaan
Y.M.I. Yeh Mera India
Aagey Se Right
Chintu Ji
Quick Gun Murugun: Misadventures of an Indian Cowboy
Fox
Baabarr
Phir Kabhi
Vaada Raha... I Promise
Dil Bole Hadippa!
What's Your Raashee?
Acid Factory
All the Best: Fun Begins
Wake Up Sid
Main Aurr Mrs Khanna
Blue
Bal Ganesh 2
Fruit & Nut
Aladin
London Dreams
Jail
Tum Mile
Kurbaan
De Dana Dan
Paa
Rocket Singh: Salesman of the Year
Raat Gayi Baat Gayi?
Accident on Hill Road
Chandni Chowk to China
Dostana
Race
Rab Ne Bana Di Jodi
Ghajini
Singh Is Kinng
Golmaal Returns
Jodhaa Akbar
Bachna Ae Haseeno
Bhoothnath
Sarkar Raj
Halla Bol
Humne Jeena Seekh Liya
Bombay to Bangkok
Tulsi: Mathrudevobhava
Sunday
One Two Three
Krazzy 4
U Me Aur Hum
Sirf....: Life Looks Greener on the Other Side
Tashan
Anamika: The Untold Story
Jimmy
Jannat: In Search of Heaven...
Don Muthu Swami
Woodstock Villa
Mere Baap Pehle Aap
Summer 2007
De Taali
Haal-e-Dil
Thodi Life Thoda Magic
Thoda Pyaar Thoda Magic
Via Darjeeling
Kismat Konnection
Love Story 2050
Contract
Mission Istaanbul: Darr Ke Aagey Jeet Hai!
Money Hai Toh Honey Hai
God Tussi Great Ho
Mumbai Meri Jaan
Maan Gaye Mughall-E-Azam
Rock On!!
C Kkompany
Chamku
Mukhbiir
Tahaan
The Last Lear
Welcome to Sajjanpur
Saas Bahu Aur Sensex
Hari Puttar: A Comedy of Terrors
Drona
Hello
Karzzzz
Heroes
Roadside Romeo
Ek Vivaah... Aisa Bhi
Desh Drohi
Fashion
Dasvidaniya
Yuvvraaj
Oye Lucky! Lucky Oye!
Oh My God!!
Sorry Bhai!
Meerabai Not Out
Wafaa
Gumnaam: The Mystery
Dil Kabaddi
Ram Gopal Varma Ki Aag
Aap Kaa Surroor
Aggar: Passion Betrayal Terror
Anwar
Aaja Nachle
Apne
Awarapan
Bheja Fry
Bhool Bhulaiyaa
Bhram: An Illusion
Big Brother
68 Pages
Aur Pappu Pass Ho Gaya
Apna Asmaan
Black Friday
The Blue Umbrella
Blood Brothers
Buddha Mar Gaya
Cash
Cheeni Kum
Chhodon Naa Yaar
Darling
Chak De! India
Dhamaal
Dhan Dhana Dhan Goal
Dharm
Journey Bombay to Goa: Laughter Unlimited
Dhokha
Dil Dosti Etc
Dhol
Ek Chalis Ki Last Local
Familywala
Gandhi My Father
Don't Stop Dreaming
Dus Kahaniyaan
Eklavya
Go
Gauri: The Unborn
Heyy Babyy
Guru
Honeymoon Travels Pvt. Ltd.
Jahan Jaaeyega Hamen Paaeyega
Jhoom Barabar Jhoom
Jab We Met
Good Boy Bad Boy
Fool N Final
Khoya Khoya Chand
Johnny Gaddaar
Just Married: Marriage Was Only the Beginning!
Kya Love Story Hai
Kudiyon Ka Hai Zamaana
Hastey Hastey Follow Your Heart
Laaga Chunari Mein Daag: Journey of a Woman
Life in a Metro
Loins of Punjab Presents
Manorama Six Feet Under
Marigold
MP3: Mera Pehla Pehla Pyaar
Hattrick
Naqaab
Mumbai Salsa
The Namesake
Namastey London
My Bollywood Bride
Nehlle Pe Dehlla
Nishabd
No Smoking
Om Shanti Om
Partner
Raqeeb
Nanhe Jaisalmer: A Dream Come True
Life Mein Kabhie Kabhiee
Risk
Shakalaka Boom Boom
Red Swastik
Salaam-E-Ishq
Saawariya
Sarhad Paar
Say Salaam India: 'Let's Bring the Cup Home'
Red: The Dark Side
Shootout at Lokhandwala
Strangers
Swami
Taare Zameen Par
Ta Ra Rum Pum
Speed
Traffic Signal
The Train: Some Lines Should Never Be Crossed...
Showbiz
Sunglass
Welcome
36 China Town
Aap Ki Khatir
Ahista Ahista
Aksar
Alag: He Is Different.... He Is Alone...
Anthony Kaun Hai?
Apna Sapna Money Money
Ankahee
Yatra
Baabul
Aisa Kyon Hota Hai?
Adharm
Being Cyrus
Banaras
Bas Ek Pal
Bhagam Bhag
Chingaari
Bhoot Unkle
Chand Ke Paar Chalo
Aryan: Unbreakable
Chup Chup Ke
Corporate
Darna Zaroori Hai
Deadline: Sirf 24 Ghante
Dil Diya Hai
Darwaza Bandh Rakho
Ei8ht Shani
Dhoom:2
Dor
Don
Family: Ties of Blood
Fanaa
Gangster
Golmaal: Fun Unlimited
Devaki
Fight Club: Members Only
Dharti Kahe Pukar Ke
Humko Deewana Kar Gaye
Humko Tumse Pyaar Hai
I See You
Jaane Hoga Kya
Jaan-E-Mann: Let's Fall in Love... Again
Jawani Diwani: A Youthful Joyride
Holiday
Iqraar: By Chance
Khosla Ka Ghosla!
Kabhi Alvida Naa Kehna
Love Ke Chakkar Mein
Lage Raho Munna Bhai
Kabul Express
Jigyaasa
Krrish
Malamaal Weekly
Omkara
Pyaar Ke Side Effects
Naksha
Phir Hera Pheri
Pyare Mohan
Mere Jeevan Saathi
Sacred Evil
Rang De Basanti
Shaadi Karke Phas Gaya Yaar
Sandwich
Shaadi Se Pehle
Saawan... The Love Season
Shiva
Souten: The Other Woman
Shikhar
Tathastu
The Killer
Umrao Jaan
Taxi No. 9 2 11: Nau Do Gyarah
Teesri Aankh: The Hidden Camera
Vivah
Utthaan
Waris Shah: Ishq Daa Waaris
Woh Lamhe
Yun Hota Toh Kya Hota
Umar
Zindaggi Rocks
Tom Dick and Harry
Aashiq Banaya Aapne: Love Takes Over
Anjaane: The Unkown
Apaharan
Bachke Rehna Re Baba
7 1/2 Phere: More Than a Wedding
A Sublime Love Story: Barsaat
Bewafaa
Black
Zinda
Bluffmaster!
99.9 FM
Bhola in Bollywood
Bhagmati
Blackmail
Bunty Aur Babli
Chaahat Ek Nasha...
Chetna: The Excitement
Chand Sa Roshan Chehra
Chocolate: Deep Dark Secrets
'D'
Deewane Huye Paagal
Bullet: Ek Dhamaka
Chehraa
Dil Jo Bhi Kahey...
Dosti: Friends Forever
Classic Dance of Love
Dus
Elaan
Fareb
Ek Ajnabee
Fun: Can Be Dangerous Sometimes
Ek Khiladi Ek Haseena
Double Cross: Ek Dhoka
Ahlaam
Home Delivery: Aapko... Ghar Tak
Garam Masala
Iqbal
Jai Chiranjeeva
Hazaaron Khwaishein Aisi
Insan
Jo Bole So Nihaal
Karam
Kaal
Kalyug
Kasak
Hanuman
James
Kisna: The Warrior Poet
Koi Aap Sa: But Lovers Have to Be Friends
Khamoshh... Khauff Ki Raat
Jurm
Kuchh Meetha Ho Jaye
Kyaa Kool Hai Hum
Lucky: No Time for Love
Main Aisa Hi Hoon
Kyon Ki...
Main Meri Patni... Aur Woh!
Maine Gandhi Ko Nahin Mara
Maine Pyaar Kyun Kiya
Mangal Pandey: The Rising
Koi Mere Dil Mein Hai
Mr Prime Minister
My Brother... Nikhil
My Wife's Murder
Naina
Neal 'N' Nikki
No Entry
Padmashree Laloo Prasad Yadav
Page 3
Morning Raga
Parineeta
Pehchaan: The Face of Truth
Paheli
Rog
Pyaar Mein Twist
Salaam Namaste
Revati
Sarkar
Sehar
Shabd
Shabnam Mausi
Sheesha
Ramji Londonwaley
Silsiilay
Socha Na Tha
Taj Mahal: An Eternal Love Story
Tango Charlie
The Film
Vaada
Vaah! Life Ho Toh Aisi!
Ssukh
Shaadi No. 1
Viruddh... Family Comes First
Waqt: The Race Against Time
Vidhyaarthi: The Power of Students
Yakeen
Zeher
Veer-Zaara
Main Hoon Na
Zameer
Mujhse Shaadi Karogi
Dhoom
Khakee
Hum Tum
Hulchul
Murder
Yuva
Aitraaz
Aetbaar
Ab Tumhare Hawale Watan Saathiyo
Aan: Men at Work
Bardaasht
Chameli
Agni Pankh
Asambhav
Charas: A Joint Effort
Deewaar: Let's Bring Our Heroes Home
Dev
Dil Maange More!!!
Dil Ne Jise Apna Kaha
Dobara
Aabra Ka Daabra
Dil Bechara Pyaar Ka Maara
Gayab
Fida
Garv: Pride and Honour
Ek Se Badhkar Ek
Ek Hasina Thi
Girlfriend
Hatya: The Murder
Hava Aney Dey
Hawas
Hyderabad Blues 2
Julie
Kaun Hai Jo Sapno Mein Aaya
Inteqam: The Perfect Game
Kis Kis Ki Kismat
Insaaf: The Justice
I Proud to Be an Indian
Khamosh Pani: Silent Waters
Kismat
Lakeer - Forbidden Lines
Krishna Cottage
Kyun! Ho Gaya Na...
Madhoshi
Lakshya
Ishq Hai Tumse
Maqbool
Masti
Meenaxi: Tale of 3 Cities
Musafir
Muskaan
Meri Biwi Ka Jawab Nahin
Naach
Netaji Subhas Chandra Bose: The Forgotten Hero
Paap
Phir Milenge
Plan
Police Force: An Inside Story
Paisa Vasool
Popcorn Khao! Mast Ho Jao
Rakht
Raincoat
Rudraksh
Shaadi Ka Laddoo
Run
Rok Sako To Rok Lo
Suno Sasurjee
Swades: We the People
Taarzan: The Wonder Car
Nothing But Life
Shart: The Challenge
Tumsa Nahin Dekha
Vaastu Shastra
Yeh Lamhe Judaai Ke
Sheen
Where's the Party Yaar?
Thoda Tum Badlo Thoda Hum
Koi... Mil Gaya
Kal Ho Naa Ho
Shukriya: Till Death Do Us Apart
Chalte Chalte
The Hero: Love Story of a Spy
Baghban
Main Prem Ki Diwani Hoon
LOC: Kargil
LOC: Kargil
Munna Bhai M.B.B.S.
Qayamat: City Under Threat
88 Antop Hill
3 Deewarein
Aanch
Aapko Pehle Bhi Kahin Dekha Hai
Bhoot
Boom
Aaj Ka Andha Kanoon
Andaaz
Andaaz
Armaan
Chori Chori
Calcutta Mail
Baaz: A Bird in Danger
Basti
Chota Jadugar
Dil Ka Rishta
Darna Mana Hai
Dhoop
Dhund: The Fog
Chura Liyaa Hai Tumne
The Bypass
Dum
Dil Pardesi Ho Gayaa
Ek Alag Mausam
Footpath
Escape from Taliban
Ek Din 24 Ghante
Gangaajal
Hawa
Haasil
Final Solution
Ek Aur Ek Gyarah: By Hook or by Crook
Hungama
Green Card Fever
Flavors
Indian Babu
Fun2shh... Dudes in the 10th Century
Inteha
Jaal: The Trap
Ishq Vishk
Hawayein
Jajantaram Mamantaram
Jism
Jhankaar Beats
Ganges: River to Heaven
Kagaar: Life on the Edge
Kash... Aap Hamare Hote
Khel
Janasheen
Kaise Kahoon Ke... Pyaar Hai
Khushi
Khwahish
Kucch To Hai
Kuch Naa Kaho
Main Madhuri Dixit Banna Chahti Hoon!
Joggers' Park
Market
Om
Out of Control
Mumbai Matinee
Matrubhoomi: A Nation Without Women
Parwana
Pinjar: Beyond Boundaries...
Mumbai Se Aaya Mera Dost
Saaya
Samay: When Time Strikes
Nayee Padosan
Satta
Sssshhh...
